# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-s" "2" "-p" "-t" "transcript" "-g" "gene_id" "--countReadPairs" "-a" "referenceGenome/refgene/hg38.refGene.gtf" "-o" "./counts_matrix.txt" "LOAD/final_alignments/SRR19243439.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243440.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243441.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243442.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243443.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243444.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243478.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243479.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243480.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243481.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243482.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243483.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	LOAD/final_alignments/SRR19243439.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243440.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243441.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243442.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243443.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243444.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243478.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243479.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243480.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243481.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243482.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243483.Aligned.sortedByCoord.out.bam
LOC729737	chr1	134773	140566	-	5794	130	84	25	62	53	51	54	55	52	149	98	76
LOC102725121	chr1	182388	184878	+	2491	3	1	4	1	3	0	0	1	0	1	0	3
FAM138D	chr1;chr12;chr12_GL877875v1_alt	205129;36661;26667	206597;38133;28135	-;-;-	4411	0	0	0	0	0	0	0	0	0	0	0	0
TGIF1	chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18	3412009;3412856;3447542;3448431;3449568;3449707;3449707;3449707;3450172;3451593;3451593;3451593;3453774	3459978;3459978;3459978;3459978;3459978;3459978;3459978;3459978;3459978;3459978;3459978;3459978;3459978	+;+;+;+;+;+;+;+;+;+;+;+;+	47970	76	75	84	154	47	46	104	41	74	72	65	181
PRDX6	chr1	173477335	173488815	+	11481	736	1167	378	942	450	313	605	370	1003	430	619	961
LOC100132287	chr1;chr5	490756;181323506	495445;181328195	-;+	9380	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132062	chr1;chr5	490756;181323506	495445;181328195	-;+	9380	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928626	chr1	627380	629009	-	1630	0	0	0	0	0	0	0	0	0	0	0	0
CIC	chr19;chr19	42268537;42284665	42295796;42295796	+;+	27260	2165	4439	2510	2163	1756	1905	3166	2476	2901	2695	2391	3421
LOC100133331	chr1	725759	730351	-	4593	22	20	5	17	11	7	21	8	7	34	15	13
LOC100288069	chr1	764865	778688	-	13824	18	67	12	24	16	14	41	29	41	35	26	24
FAM87B	chr1	817371	819834	+	2464	1	4	0	2	0	1	0	0	0	1	3	1
LINC00115	chr1	826206	827522	-	1317	23	31	21	22	16	15	33	15	23	34	25	33
LINC01128	chr1;chr1;chr1;chr1;chr1;chr1	827591;827591;827591;827591;827591;827798	843604;859446;859446;859446;859446;859446	+;+;+;+;+;+	31856	529	1025	379	266	454	429	523	405	832	591	602	686
FAM41C	chr1	868071	876802	-	8732	2	2	0	0	0	0	1	0	0	2	0	0
LINC02593	chr1;chr1	916818;916818	919692;919692	-;-	2875	17	12	3	5	13	10	23	9	13	9	11	6
LILRA4	chr19;chr19_GL949753v2_alt;chr19_GL949747v2_alt;chr19_KI270938v1_alt	54333185;314684;314530;315570	54339162;320663;320509;321547	-;-;-;-	23916	0	0	1	0	0	0	0	0	4	2	0	1
PLEC	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	143915153;143915153;143915153;143915153;143915153;143915153;143915153;143915153	143953834;143939597;143943985;143973529;143976745;143942624;143950926;143944770	-;-;-;-;-;-;-;-	61593	12066	19883	8686	12195	8828	9361	16408	11289	10600	11445	11377	17114
PLEKHN1	chr1;chr1;chr1	966482;966482;966482	975865;975865;975865	+;+;+	9384	0	7	0	0	2	1	4	2	4	2	2	3
MPP2	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	43875359;43875359;43875359;43875359;43875361;43875361;43875361;43875361;43875361	43909711;43909711;43901562;43907942;43907536;43907536;43900624;43907536;43907536	-;-;-;-;-;-;-;-;-	34353	761	1768	842	708	703	728	787	793	1305	1105	1075	1097
CFTR	chr7	117480025	117668664	+	188640	51	48	11	15	35	17	29	22	65	26	66	67
C1QB	chr1;chr1	22653236;22653236	22661636;22661636	+;+	8401	444	186	142	472	64	101	288	94	294	418	276	908
ELN	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	74027789;74027789;74028173;74028173;74028173;74028173;74028173;74028173;74028173;74028173;74028173;74028173;74028173	74069906;74069906;74069906;74069906;74069906;74069906;74069906;74069906;74069906;74069906;74069906;74069906;74069906	+;+;+;+;+;+;+;+;+;+;+;+;+	42118	275	403	140	172	167	109	169	127	217	178	175	359
SEPTIN12	chr16;chr16	4777606;4777606	4788345;4788345	-;-	10740	12	23	22	12	9	26	28	9	24	20	53	20
RBM19	chr12;chr12;chr12	113816740;113822057;113822057	113966325;113966325;113966325	-;-;-	149586	1628	2218	1231	1052	1551	1487	1723	1133	1404	1627	1687	1884
CCDC120	chrX;chrX;chrX;chrX;chrX;chrX	49053572;49058966;49058966;49058966;49058999;49058999	49069854;49069858;49069858;49069858;49069854;49069854	+;+;+;+;+;+	16287	12	47	14	19	9	18	27	17	34	20	16	32
GUCA2A	chr1	42162690	42164745	-	2056	0	0	0	0	0	0	0	0	0	0	0	0
INO80D	chr2;chr2_KQ983256v1_alt	205993721;102739	206086174;195192	-;-	184908	0	2	0	3	2	2	1	3	1	3	0	3
CCDC34	chr11;chr11	27338512;27348872	27363215;27363248	-;-	24737	71	147	64	50	62	79	66	80	122	97	64	112
C12orf43	chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12	121000486;121000486;121000486;121002422;121002422;121002422;121002422;121002422	121016487;121016487;121016487;121016487;121016487;121016487;121016487;121016487	-;-;-;-;-;-;-;-	16002	262	604	236	121	220	245	291	292	460	277	333	283
LOC100288175	chr1	1059734	1066453	+	6720	33	49	8	17	10	10	31	16	14	43	17	44
LILRB5	chr19;chr19;chr19;chr19;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt	54249421;54249421;54249421;54250420;224425;224425;224425;225424;224393;224393;224393;225398;224156;224156;224156;225155;224389;224389;224389;225388	54257273;54257273;54257273;54257273;232276;232276;232276;232276;232250;232250;232250;232250;232008;232008;232008;232008;232241;232241;232241;232241	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	39269	0	0	0	0	0	0	0	0	0	0	0	0
CCDC169	chr13;chr13;chr13;chr13;chr13;chr13;chr13	36222004;36222004;36222004;36222004;36230775;36230775;36230775	36297814;36297814;36297814;36297814;36297814;36297814;36297814	-;-;-;-;-;-;-	75811	0	0	0	0	0	0	0	0	0	0	0	0
CLRN1	chr3;chr3;chr3;chr3;chr3	150926163;150926567;150926567;150926567;150926567	150944236;150972999;150972727;150972727;150972727	-;-;-;-;-	46837	0	2	1	0	1	1	1	2	0	0	0	2
SPDYE17	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	73021095;73049238;73077348;73105381;77023682;75280709;75308637;75336604	73028500;73056645;73084772;73112786;77031104;75288125;75316053;75344020	-;-;-;-;-;+;+;+	59319	0	0	0	0	0	0	0	0	0	0	0	0
LINC01342	chr1	1137017	1144054	+	7038	0	1	0	0	0	1	0	0	0	0	1	2
RAD17	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt	69369297;69369818;69369818;69369818;69370060;69370705;69371035;69371035;69371454;152493;153014;153014;153014;153256;153901;154231;154231;154647	69414801;69414801;69414801;69414801;69414801;69414801;69414801;69414801;69414801;198226;198224;198224;198224;198226;198224;198226;198226;198226	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	91239	16	5	12	13	7	9	10	24	30	2	14	7
SH2D3C	chr9;chr9;chr9;chr9;chr9;chr9;chr9	127738317;127738317;127738317;127738317;127738317;127738317;127738317	127762418;127762440;127771369;127771294;127755304;127755282;127778666	-;-;-;-;-;-;-	40350	260	617	166	213	260	235	224	163	256	365	418	469
ZNF41	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178	47483269;47467669;47467670;47483269;47482946;47483269;47467670;47483269;47483269;47483269;47483269;47483269;47483269;47467670;47483269;47483269;47482946;47483269;47483269;47482946	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	38092	411	623	311	287	436	292	408	335	487	403	395	487
VPREB1	chr22;chr22	22244786;22244786	22245515;22245515	+;+	730	0	0	0	0	0	0	0	0	0	0	0	0
VIL1	chr2	218419123	218453295	+	34173	2	4	1	1	0	5	3	2	0	2	2	5
MDK	chr11;chr11;chr11;chr11;chr11;chr11;chr11	46380784;46381068;46381669;46381669;46381669;46381669;46381711	46383837;46383837;46383825;46383825;46383825;46383825;46383837	+;+;+;+;+;+;+	3054	30	86	29	36	20	15	29	33	38	47	65	63
AMELX	chrX;chrX;chrX	11293413;11293413;11293413	11300761;11300761;11300761	+;+;+	7349	0	0	0	0	0	0	1	0	0	0	0	0
ALOX15B	chr17;chr17;chr17	8039040;8039059;8039059	8049133;8049133;8049133	+;+;+	10094	65	15	17	63	14	2	20	13	9	6	24	23
SLC25A1	chr22;chr22;chr22;chr22	19175575;19175581;19175581;19175581	19178863;19178505;19178736;19178505	-;-;-;-	3289	118	227	175	229	117	97	213	135	182	163	148	243
DUSP9	chrX;chrX	153642441;153647203	153651326;153651326	+;+	8886	76	52	26	82	28	19	90	44	28	48	48	53
UQCC3	chr11	62671673	62673686	+	2014	29	84	38	62	12	37	53	31	90	42	29	58
MORC4	chrX;chrX	106940738;106940738	107000212;107000212	-;-	59475	162	179	176	276	117	156	163	90	173	184	176	214
SCNN1D	chr1;chr1	1280436;1280436	1292025;1292029	+;+	11594	298	637	188	238	224	304	371	333	303	405	435	468
MRTFB	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	14071062;14071313;14071319;14071319;14071319;14071319;14071319;14071319;14186686;14186686;14186686;14186686;14186686	14153205;14266779;14153205;14153205;14266773;14153205;14153205;14266773;14241465;14266773;14266773;14266773;14241465	+;+;+;+;+;+;+;+;+;+;+;+;+	195718	6098	7517	5205	3994	3248	3976	5509	3553	7134	6700	5908	6361
MIR6726	chr1	1296110	1296170	-	61	0	0	0	0	0	0	0	0	0	0	0	0
SNORD167	chr1	1304729	1304812	-	84	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	chr1;chr1;chr1	1308580;1308580;1308597	1311677;1311677;1311677	+;+;+	3098	60	137	67	59	32	45	68	52	93	75	70	100
MSRB3	chr12;chr12;chr12;chr12	65278683;65278683;65278683;65278987	65466907;65466907;65466907;65466907	+;+;+;+	188225	1190	1249	725	1066	581	786	1189	752	1247	1124	715	1298
FGFR3	chr4;chr4;chr4;chr4;chr4;chr4	1793293;1793293;1793293;1793312;1793312;1793312	1808867;1808867;1808867;1808872;1808872;1808872	+;+;+;+;+;+	15580	3280	3707	351	2094	3217	1056	4194	2732	2507	1142	2750	2315
EWSR1	chr22;chr22;chr22;chr22;chr22	29268268;29268268;29268268;29268268;29268268	29300521;29290683;29300521;29300521;29300521	+;+;+;+;+	32254	1428	2471	1410	1164	990	913	1542	1257	2418	1597	1563	1936
TMA7	chr3;chr3;chr3	48440257;48440257;48440257	48444208;48444208;48444208	+;+;+	3952	168	396	170	124	77	90	186	151	319	190	202	171
MIR6727	chr1	1312502	1312566	-	65	0	0	0	0	0	0	0	0	0	0	0	0
SMR3A	chr4	70360760	70367158	+	6399	0	0	0	0	0	0	0	0	0	0	0	0
NUPR1	chr16;chr16	28532708;28532708	28538974;28538974	-;-	6267	57	67	184	179	48	56	87	37	63	81	61	112
OSTF1	chr9	75088514	75147265	+	58752	493	671	549	470	321	418	444	461	665	662	656	651
ORC3	chr6;chr6;chr6	87590067;87590067;87590067	87667454;87667454;87667454	+;+;+	77388	595	932	404	404	384	379	634	534	992	643	700	698
MIR6808	chr1	1339650	1339708	-	59	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	chr1;chr1;chr1;chr1;chr1	1352689;1352689;1352689;1352691;1352691	1358547;1363541;1358794;1361799;1358555	-;-;-;-;-	10853	78	61	7	42	51	25	58	45	59	44	73	106
SERPINC1	chr1;chr1	173903519;173903804	173917327;173917378	-;-	13860	3	3	9	12	4	0	2	1	4	6	5	9
SPRED2	chr2;chr2	65310851;65310851	65432599;65366778	-;-	121749	1866	1679	1453	1655	1055	1384	1684	1339	2256	1602	1381	1828
AK8	chr9;chr9;chr9;chr9;chr9;chr9;chr9	132725578;132725578;132725578;132725578;132725578;132725578;132725578	132878284;132879046;132878284;132878284;132878284;132878284;132879046	-;-;-;-;-;-;-	153469	276	492	67	120	253	116	302	230	221	224	402	232
GALNS	chr16;chr16;chr16	88813734;88813734;88813734	88856947;88856947;88856947	-;-;-	43214	845	1219	582	704	601	716	785	556	560	871	807	1110
FBXW8	chr12;chr12	116910950;116910956	117031148;117031148	+;+	120199	781	1167	515	691	556	646	763	571	910	994	762	1005
IKBKG	chrX;chrX;chrX;chrX;chrX;chrX	154542212;154542212;154547620;154547620;154547620;154547847	154565030;154565030;154565030;154565030;154565030;154565046	+;+;+;+;+;+	22835	69	152	58	52	67	65	80	80	140	74	115	105
PSME1	chr14;chr14;chr14;chr14;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix	24136158;24136194;24136194;24136194;437136;437172;437172;437172	24138967;24138962;24138962;24138962;439945;439940;439940;439940	+;+;+;+;+;+;+;+	5620	0	0	0	0	0	0	0	0	0	0	0	0
SETDB1	chr1;chr1;chr1;chr1;chr1	150926263;150926363;150926363;150926363;150926363	150964737;150964737;150964737;150964737;150945320	+;+;+;+;+	38475	535	944	418	364	533	374	589	541	631	573	702	628
VSTM1	chr19;chr19;chr19;chr19;chr19;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949749v2_alt;chr19_GL949749v2_alt;chr19_GL949749v2_alt;chr19_GL949749v2_alt;chr19_GL949749v2_alt;chr19_GL949750v2_alt;chr19_GL949750v2_alt;chr19_GL949750v2_alt;chr19_GL949750v2_alt;chr19_GL949750v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_GL949748v2_alt;chr19_GL949748v2_alt;chr19_GL949748v2_alt;chr19_GL949748v2_alt;chr19_GL949748v2_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949751v2_alt;chr19_GL949751v2_alt;chr19_GL949751v2_alt;chr19_GL949751v2_alt;chr19_GL949751v2_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt	54040826;54040826;54040826;54040826;54040826;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193	54063897;54063953;54063953;54063897;54063897;38264;38264;38320;38320;38264;38264;38320;38320;38264;38264;38264;38264;38320;38320;38264;38264;38264;38320;38320;38264;38264;38264;38264;38320;38320;38264;38320;38320;38264;38264;38264;38264;38320;38320;38264;38264;38264;38264;38320;38320;38264;38264;38320;38320;38264	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	231280	0	0	0	1	2	2	2	4	2	0	0	1
MRPL20-AS1	chr1	1399530	1402046	+	2517	104	169	87	82	78	56	164	89	176	100	99	114
PAQR3	chr4;chr4;chr4;chr4;chr4;chr4;chr4	78911878;78911878;78911878;78911878;78911878;78911878;78911878	78939438;78939438;78939438;78939438;78939438;78939438;78939438	-;-;-;-;-;-;-	27561	337	521	592	280	240	294	295	202	714	462	423	475
LINC01770	chr1;chr1;chr1	1430157;1430157;1430157	1434573;1434573;1434573	-;-;-	4417	19	22	19	11	12	4	19	13	26	21	23	14
